epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.552441000454776,0.06753042794568051,3.6263855049560965,0.0745637228979376,0.0009755282581475768
2,3.3497229383778406,0.09710770841220367,3.219139458324971,0.1300898995555815,0.0009045084971874736
3,3.1824991812242325,0.13309776207010185,3.1983098717734397,0.1337916446324696,0.0007938926261462366
4,3.019193512063238,0.17222876587224215,3.011541363425131,0.17662612374405076,0.0006545084971874737
5,2.8736946764704974,0.2168564324080359,2.969078955607462,0.18984664198836596,0.0005
6,2.6881743534870943,0.25088339220859696,2.852806748945457,0.22051824431517716,0.00034549150281252633
7,2.527765695500508,0.29760502552412016,2.561881375653223,0.29349550502379695,0.0002061073738537635
8,2.372467878741317,0.3359507917421773,2.5178669810232064,0.30248545742993127,9.549150281252634e-05
9,2.2525801957862694,0.3674911659997322,2.4087335852830263,0.32681121101523125,2.4471741852423235e-05
10,2.159550367295937,0.3909174191352663,2.352070692542493,0.3410893707190917,0.0
